username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Paizo,16162631,"Redmond, WA",2023-01-26 20:35:23,"New Blog: ""Gardens of Plenty"" with fiction by Josh Foster, #Pathfinder Society Developer and #PathfinderSociety gui… https://t.co/s97HJiFAul",0,Buffer,
Aaron “Hi-Fi Rushing” Greenberg 🙅🏼‍♂️💚U,19595287,"Seattle, WA",2023-01-26 20:32:08,"@Crusader3456 Nice of you to recognize that, it’s part of the DNA of our team. We appreciate the feedback and suppo… https://t.co/zDcrorQLiv",0,Twitter for iPhone,
Microsoft Excel,15934026,"Redmond, WA",2023-01-26 18:11:26,"@LilHaileyy Hi AJ, it's us! Feel free to reach out to our Tech Community where other community members and experts… https://t.co/8oILlhediz",0,Sprinklr Publishing,
AttainHousing,88201705,"Kirkland, WA",2023-01-26 18:01:18,"""In #KingCounty, #homelessness continues to have a disproportionate impact on communities of color."" Read our blog… https://t.co/Me9z6plIBe",0,Hootsuite Inc.,
Microsoft SharePoint,26541422,"Redmond, WA",2023-01-26 18:00:03,"Register now for the Microsoft 365 Conference on May 2nd to the 4th in Las Vegas, Nevada and join the largest, in-p… https://t.co/ou4jd2wGPY",0,Sprinklr Publishing,
QFC,492674333,"Bellevue, Washington",2023-01-26 17:40:20,@dampscribbler We are sorry to hear about the smell in the meat department. We have shared your feedback directly w… https://t.co/LGQbI2xalW,0,Qualtrics Social Connect,
marqueeinsights,1125185643888267264,"Bellevue, WA",2023-01-26 17:13:37,Wow! The #PowerBI Desktop forum on https://t.co/RCliFNnBzN went over 1 million posts earlier this week. Great testa… https://t.co/zmDNt029jR,2,Twitter for iPhone,
MSN,15856435,"Redmond, WA, USA",2023-01-26 16:11:32,Arizona woman found in a canvas sack in 1971 ID’d through community-funded DNA testing https://t.co/mGEhR8Gv3F,0,OxfordBlue-Twitter,
City of Redmond,46755413,"Redmond, WA USA",2023-01-26 16:04:18,"Stay up to date this year on parks and trails, classes available for the community, environmental sustainability, p… https://t.co/hPD14ykbuf",0,Hootsuite Inc.,
Sasquatch Strength,1196452404834603008,"Redmond, WA",2023-01-26 16:03:19,"We love our members! See you in the gym! 
.
.
. 
#memberspotlight #membertestimonials #community #weloveourmembers… https://t.co/tDHNe589XY",0,LaterMedia,
Jason Matias,871447064177106944,"Bellevue, WA",2023-01-26 15:16:22,"@sheasmith1 @ItzBermuda Dang, it’s a small world. You have eye on the Cardano community too?",0,Twitter for iPhone,
Jeff Teper,43008319,"Redmond, WA",2023-01-26 14:56:52,@TeamsDay @tomarbuthnot @Ra_Koellner @Jak0b_S 🙏💜 community,0,Twitter for iPhone,
.NET,757891106,"Redmond, WA",2023-01-26 14:55:01,"Announcing .NET Community Toolkit 8.1

Now with highly requested new features, fixes, and massive performance impro… https://t.co/Dax9Wp1LvQ",15,Sprinklr Publishing,
myPRwire,3987328893,"Bellevue, WA",2023-01-26 11:58:38,Pakistan's ostrich farming community is struggling to gain popularity https://t.co/rwqMsmmS49,0,IFTTT,
⚡️☀️CyberMike ☀️⚡️,390589922,"Kirkland, WA",2023-01-26 05:34:29,@TeslaDiva99 The more involved you are with the community then the more you’ll be put on these lists. Earl has taug… https://t.co/DqiIbCflW7,0,Twitter for iPhone,
Weather,82960432,"Redmond, WA",2023-01-26 05:22:40,'It just happened so fast:' Cleanup begins after EF3 tornado in Texas community https://t.co/eHsNZS4Fzh,0,OxfordBlue-Twitter,
PK,148801431,"Bellevue, WA",2023-01-26 03:32:43,"Folk think twitter is crazy, try reddit! Some community moderators take things super seriously.. 

I questioned one… https://t.co/xCUffWkYzX",0,Twitter for iPhone,
Stazzi,1390392535390986240,"Kirkland, WA",2023-01-26 03:01:49,Grabbed a couple @KaijuKingz today and I'm super excited to join this awesome community! Looking forward to popping… https://t.co/rMXwQMbsQl,2,Twitter Web App,
SiddSnips,876831116765782020,"Redmond, WA",2023-01-26 02:21:41,@GemsOfBollywood No wonder everyone from the pissful community is so ga-ga over this film..,0,Twitter Web App,
Puget Sound Energy,46509210,"Bellevue, WA USA",2023-01-26 02:01:41,"@EasyElton Hello Eddy, We've partnered public schools such as Olympia High School and Pine Lake Middle School for o… https://t.co/Cul9H2HpsA",0,Sprinklr Publishing,
Puget Sound Energy,46509210,"Bellevue, WA USA",2023-01-26 01:55:22,"@DaveHud25821686 Hello Dave, You can see how much power our community solar sites generate here: https://t.co/tXeX9545Fp ~Camille",0,Sprinklr Publishing,
Nick Loveless,1546691977,"Kirkland, WA",2023-01-26 01:04:14,"#JustListed #Kirkland! On a large park-like lot, modern finishes &amp; exceptional privacy.  Norkirk community, just bl… https://t.co/X4YpMvKSzH",0,Buffer,
Allied Universal Jobs,552682274,North America,2023-01-26 00:28:21,"Build a career in your community! We’re hiring in #Redmond, WA. As a Security Officer - Social Media Site, you will… https://t.co/RMEd3NWkW9",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.121512, 47.6739881]}"
Century21 Northwest,2871463146,"Kirkland, Washington",2023-01-26 00:03:48,"#pricechange
Opportunity to build your own home in the secluded and gated community of Clearwood. This community ha… https://t.co/pgSNnJKhxh",0,Twitter Web App,
T-Mobile Tech Experience,938865592747966464,"Bellevue, WA",2023-01-26 00:03:32,"#ICYMI, we had some great discussions last night at our first #2023SpeakerSeries with @JimBrisi, Aseem Datar, and J… https://t.co/Y2pmybdY2b",0,Twitter Web App,
Century21 Northwest,2871463146,"Kirkland, Washington",2023-01-25 23:55:41,"#pricechange
Opportunity to build your own home in the secluded and gated community of Clearwood. This community ha… https://t.co/BbCKdr1llD",0,Twitter Web App,
Puget Sound Energy,46509210,"Bellevue, WA USA",2023-01-25 23:20:02,Manastash Ridge Community Solar is open for enrollment! Subscribe to shares of the energy produced by the new solar… https://t.co/OunnLYrKZJ,0,Sprinklr Publishing,
Paizo,16162631,"Redmond, WA",2023-01-25 23:09:00,"""Happy New Releases Day! Many of you may have a new or renewed interest in #Pathfinder and #Starfinder, so I’d like… https://t.co/S883nVDZ9z",54,Buffer,
AltspaceVR,2565589034,"Redmond, WA",2023-01-25 23:08:10,"Our run in the sun may be ending on March 10th, but until then we're gonna keep celebrating our community and its c… https://t.co/12u0IX1xfX",3,Hootsuite Inc.,
Mylio Photos,2591844625,"Bellevue, WA",2023-01-25 22:59:37,"Renowned nature photographer @danieljcox and his staff can quickly manage, find, and share photos in his 1.4 millio… https://t.co/L6ZNv1oEF3",0,CoSchedule,
TokenEyes.eth,545655225,"Bellevue, WA, USA",2023-01-25 22:48:09,"@richgel999 This seems pretty groundbreaking! I have the time and would be glad to help with data cleanup, technica… https://t.co/SEXKjkGSZ3",0,Twitter Web App,
RedmondWaPD,1959389232,"Redmond, Washington",2023-01-25 21:08:17,Redmond Police need the community’s help identifying two persons of interest in an attempted ATM theft at a local b… https://t.co/n0MQ0carZa,12,Twitter Web App,
jmitchell2002,18748384,"Bellevue, WA",2023-01-25 20:57:18,"@TDLockett12 It’s in the rules, part 4 subsection D. Hoodies are community property, sweats in general in the winte… https://t.co/F9KE9kXRDr",0,Twitter for iPhone,
"Wizard's spokesperson, Best Coast branch 🦶🔫",1149835788,"Bellevue, WA",2023-01-25 20:55:29,"@goblin_hand @HamasakiLaw ""Defund the police! We can police ourselves.""
but also...
""Let's not be proactive in comm… https://t.co/Qh3E55CHqg",0,Twitter Web App,
Minotaur Princess,1414323971772715009,"Bellevue, WA",2023-01-25 20:41:41,"If you haven’t joined the #MinotaurPrincess #Discord yet you are missing out on competitions, events and more!

Joi… https://t.co/1LywgEcAUl",1,TweetDeck Web App,
Tech Community,768553501395857408,"Redmond, WA",2023-01-25 20:00:00,Check out the new marketplace community on Tech Community! https://t.co/YNivSdRnpI,0,Sprinklr Publishing,
DavidRheins,10038842,"Redmond, WA",2023-01-25 18:49:16,Michigan: Social Equity Education Session Featuring Legacy Community Partners https://t.co/BVThupLAgx via @MJBAnet,0,Twitter for iPhone,
The Sophia Way,160682916,"Bellevue, WA",2023-01-25 18:22:54,"Please help us welcome our newest Board Members!

Tanisha Davis-Doss (Community Passageways)
Alexis Harden (LifeWir… https://t.co/YrnRrjyjLM",0,Hootsuite Inc.,
Immo Landwerth @terrajobst@hachyderm.io,512620228,"Redmond, WA",2023-01-25 17:43:36,"@AndyNosretep I don’t think it’s lack of confidence. It anything, over confidence and arrogance is what got us in t… https://t.co/S3pC8MfSTI",0,Twitter for iPhone,
Microsoft SharePoint,26541422,"Redmond, WA",2023-01-25 16:45:07,"💾 Recording of the #Microsoft365dev call 24th of January

✅ The latest news
✅ Focus on #MSFTViva, #SPFx &amp;… https://t.co/jmqzXbAn6y",1,Sprinklr Publishing,
Amber LeAnn Lynch,927768706184232961,Bellevue Wa,2023-01-25 16:25:55,@TinyTiredTiger @GameStop The community has grown HP way beyond JK Rowling. Most of us disown her and continue to l… https://t.co/uJA9dDP7hd,0,Twitter for iPhone,
Ben M. Schorr,17315658,"Redmond, WA",2023-01-25 16:23:01,Workflows in Microsoft Teams for more productivity https://t.co/XzU4anuzkC &lt; Some great tips for making the most of… https://t.co/XK1rusEg4M,0,Buffer,
City of Redmond,46755413,"Redmond, WA USA",2023-01-25 16:20:45,Redmond’s new community gathering place continues to mark milestones and make great strides in construction.  Redmo… https://t.co/LeySu9zkZa,0,GovDelivery,
Microsoft SharePoint,26541422,"Redmond, WA",2023-01-25 15:45:13,"💡 #Microsoft365dev #PnPWeekly - Episode 194 with the brilliant @mrackley
 
✅ Mark's career path and current role
✅… https://t.co/n3r2ylR1h9",2,Sprinklr Publishing,
Jeremy Showalter,55612048,"Redmond, WA",2023-01-25 15:23:58,@1sats_ln @politicalmath Personally I think this is the future... Local doctor membership and a community system li… https://t.co/VjuDFJPdbp,0,Twitter for Android,
Peter Lee,167089528,"Redmond, WA",2023-01-25 15:03:42,What an honor to partner with the @Broad Institute of MIT and Harvard and @Verily to make Terra available on Azure.… https://t.co/bSAri1lLAV,2,Twitter Web App,
Dragos Manolescu,13648972,"Kirkland, WA",2023-01-25 14:05:37,@fchollet Right on. So why hasn’t the community addressed it yet 🤔,0,Twitter for iPhone,
Jacob Dalley,2749812301,"Redmond, WA",2023-01-25 13:16:08,"@DavidZipper If I'm anywhere and see a business community that looks friendly to walk, I always stop and walk it. A… https://t.co/4ExqofQJYj",0,Twitter for Android,
MJ,855466409366888448,New York,2023-01-25 07:32:15,"@abigaildisney Happy 🎂! He may not have been famous outside of his community in New Orleans, but my late uncle Henr… https://t.co/04y7AhLisD",0,Twitter Web App,
Jim Rondinelli,29787102,"Redmond, WA",2023-01-25 04:58:43,@JeremiahOshan @sounderatheart I wish I felt better about this statement. It really feels like the club’s business… https://t.co/Iyyh2Dz7za,1,Twitter for iPhone,
Don R 🚀🌟,16589409,"Bellevue, WA",2023-01-25 04:52:55,"For the fam!
VERY COOL and VERY QUICK way to setup an AI Midjourney Bot exclusively for our community. Maybe this w… https://t.co/04hbW0wSyb",0,Twitter Web App,
Brandon Bleek 📸⛷⚽️🏄‍♂️,185516202,"Redmond, WA",2023-01-25 02:45:59,@JeremiahOshan @ussoccer @hbomax @MLS @AppleTV @PLinUSA @peacock @ChampionsLeague @paramountplus @SiriusXMFC On a t… https://t.co/HcJ0Nz2KBL,0,Twitter for iPhone,
MoonChimeFamily 🇵🇸,1451220860874887178,"Bellevue, WA",2023-01-25 01:12:32,"@michelletandler What if we don't use the police but programs like STAR? LCSWs, Relations experts/Negotiators, pair… https://t.co/KTKjYwu22R",0,Twitter for Android,
jeremy.eth,14085508,"Washington, Kirkland",2023-01-25 00:34:10,"@piv_piv Sometimes I rep my punk/xpunk Chiaroscuro...
@SpottieWiFi did as well in early 2022… https://t.co/hZcqMy2r1K",0,Twitter Web App,
"Tread Lightly, Retire Early",928357269003149312,"Kirkland, WA",2023-01-24 23:48:37,"We now have 570 members on Woven by @WomensPF! 🤩

It’s been pretty awesome chatting with everyone off of Facebook!… https://t.co/UGcc57UKXN",1,Twitter for iPhone,
Paizo,16162631,"Redmond, WA",2023-01-24 23:18:20,"Roll For Combat introduces a Year of Monsters! New ancesties, VTT support, digital assets, and a special invite to… https://t.co/QjhUzYLbIw",14,Buffer,
Microsoft Life,14344319,"Redmond, WA",2023-01-24 23:07:18,"""The day you come to work as your whole self is a life-changing moment."" — Naomi Boyd, Community Manager

Share in… https://t.co/77VBzsc1H4",2,Sprinklr Publishing,
"Klint Van Cleemput, NBCT",947597331922219008,"Redmond, WA",2023-01-24 22:45:24,Can’t wait to teach baseball literacy. Thank you @USABDevelops #funatbat for providing a bag full of critical equip… https://t.co/DuttcvRxQa,0,Twitter for iPhone,
Paizo Organized Play,894703501988601858,"Redmond, WA",2023-01-24 21:49:20,"Next, in August we'll be attending @Gen_Con in Indianapolis! GM applications for the physical event are open now; O… https://t.co/FbCZK83guY",0,Twitter Web App,
Paizo Organized Play,894703501988601858,"Redmond, WA",2023-01-24 21:49:19,"First up, in May we'll be hosting PaizoCon! Our celebration of all things Paizo will take place online from May 26-… https://t.co/NxnTDoMnrJ",0,Twitter Web App,
Paizo Organized Play,894703501988601858,"Redmond, WA",2023-01-24 21:49:18,One of the best elements of our community is how willing everyone is to welcome new players into our community! Wit… https://t.co/LEk8VU8N5T,8,Twitter Web App,
Pat Dooley (Get Vaccinated/Be Kind),19634869,"Redmond, WA",2023-01-24 21:26:47,Think about applying to be a reviewer for @GHC23.  You can go to the link and get a reminder when they open applica… https://t.co/7ynA18WjEE,1,LinkedIn,
Little Masters Club,1121181891862962176,"Bellevue, WA",2023-01-24 20:52:07,"Are you looking for an opportunity to learn about trees, collect volunteer service hours, &amp; build outdoor education… https://t.co/EKHJHwCBxk",0,Twitter Web App,
Dr. Adel El-Ghazzawy,309363093,"Bellevue, WA",2023-01-24 20:45:56,"I’m so thrilled to be all in at Overlake Medical Center. I’ve practiced there for 22 years and it’s a wonderful, co… https://t.co/Po3j42m518",0,LinkedIn,
Century21 Northwest,2871463146,"Kirkland, Washington",2023-01-24 20:35:17,"#pricechange
Potential Development Site. Excellent investment opportunity in North Ballard Community of Seattle to… https://t.co/OtZCZ0ELw3",0,Twitter Web App,
Century21 Northwest,2871463146,"Kirkland, Washington",2023-01-24 20:13:18,"#pricechange

Potential Development Site. Excellent investment opportunity in North Ballard Community of Seattle to… https://t.co/04MkclBUBM",0,Twitter Web App,
Microsoft Adoption & Community,1453125778040754176,"Redmond, WA",2023-01-24 20:03:00,"What is the Microsoft Global Community Initiative?

We want the world to know, sign up NOW! 

What are you waiting… https://t.co/JEsRrYL2Bv",1,Twitter Web App,
Weidner Apartments,342986838,"Kirkland, WA",2023-01-24 20:00:14,"Way to go, Deserie, for ringing in 10 years with Weidner! We appreciate your hard work and fantastic community mana… https://t.co/lIEhkVmNAl",0,HeyOrca,
Cummins Chiropractic & Wellness,95292156,"Bellevue, WA",2023-01-24 19:52:31,"Cougar Mountain, Rattlesnake Lake, John Wayne Pioneer Trail.... where do you enjoy living your 100 Year Lifestyle?… https://t.co/6aEcMmahHz",0,cmsoc,
Ziply Fiber,1214066633741721601,"Kirkland, WA",2023-01-24 19:25:02,Having trouble affording high-quality internet? You may qualify for FREE or low-cost fiber internet through the Aff… https://t.co/P9jzjsCfwJ,0,Sprinklr,
Brian Bauman,1024417554855387137,"Redmond, WA",2023-01-24 19:01:06,"@triberuth @krutten A public Paizo API would allow the community to connect their websites, apps, or desktop softwa… https://t.co/7294AXKId0",0,TweetDeck Web App,
Anand Eswaran,52158236,"Clyde Hill, WA",2023-01-24 18:21:01,The @Veeam Community Hub is abuzz with news about V12! Check out @RickVanover’s recap and hear about what’s gotten… https://t.co/H7tzpl1Kjt,2,Sprout Social,
Brian Bauman,1024417554855387137,"Redmond, WA",2023-01-24 17:50:32,@krutten I'd absolutely love to build a public API for the Paizo community.  We have an amazing and talented commun… https://t.co/dEOnGmiTRq,0,TweetDeck Web App,
"Wizard's spokesperson, Best Coast branch 🦶🔫",1149835788,"Bellevue, WA",2023-01-24 16:35:58,"@Gwyn_Geology @komonews +1 The community is not being heard.
We planned to present at yesterday's town hall only fo… https://t.co/wMjVbNzQQu",0,Twitter for Android,
Microsoft Imagine Cup,41012588,"Redmond, WA",2023-01-24 16:00:33,"If joining the #MSFTStudentAmbassadors community is on your bucket list, current Student Ambassadors are here to sh… https://t.co/YeofsD8Hjx",1,Twitter for Advertisers,
Reach Church,215881230,"Kirkland, WA",2023-01-24 16:00:16,This week we began a new rhythm of taking communion altogether at once in the middle of our services. It was and wi… https://t.co/r3a1Ou9di7,0,Sked Social,
.NET,757891106,"Redmond, WA",2023-01-24 14:14:01,Dive into C# internals in the Languages &amp; Runtime Community Standup as they chat about beautiful and horrible and s… https://t.co/MBQcVJqqe5,10,Sprinklr Publishing,
MSN,15856435,"Redmond, WA, USA",2023-01-24 12:47:08,Asian American community shaken by Monterey Park mass shooting https://t.co/PO6KQtjHHq,0,OxfordBlue-Twitter,
TimeXtender,187906124,"Bellevue, WA",2023-01-24 10:40:00,"The TimeXtender Community is buzzing! Have you joined yet?

This is the best place to find answers, ask questions,… https://t.co/Wq1rC5NQvg",0,HubSpot,
BodduSatish🚀,770142522366623744,"Bellevue, WA",2023-01-24 05:05:55,#Microsoft #ISV #ANNOUNCEMENT Check out this post on the Microsoft Tech Community : Marketplace Community: A new hu… https://t.co/EYJvLRdwcp,0,Twitter for iPhone,
Deutski🌹ドイツキ,1172314646507708418,"Bellevue, WA",2023-01-24 04:55:59,@typewriteralley The Deputy Mayor echoing NIMBY talking points by trying to imply that there's not studies showing… https://t.co/7DmInBqcgA,0,Twitter Web App,
City of Redmond,46755413,"Redmond, WA USA",2023-01-24 04:00:41,"City hall’s lobby will transform for two nights of magic, comedy, and music on Feb. 10 &amp; 17. Enjoy a reception of a… https://t.co/3F8YJIsuws",0,Hootsuite Inc.,
Deutski🌹ドイツキ,1172314646507708418,"Bellevue, WA",2023-01-24 03:59:19,"On a question on if Bellevue has a down payment program, staff say ARCH has one but that housing costs have gone up… https://t.co/I0P6UkBGin",0,Twitter Web App,
Lee Baxter ♀️☮,737535261324640262,"Redmond, WA",2023-01-24 02:30:26,@liliumrossa @TristanSnell Hm. I wonder how far back that goes. I remember when the NRA was active in my little com… https://t.co/9Xp8cTPMvP,0,Twitter Web App,
SplashForward,942644798732713984,"Bellevue, WA",2023-01-24 02:19:39,"Want to know how last week's Parks community meeting went? Discuss the concept plan options? Ask questions?
👉Come t… https://t.co/63Ao9Z5qDO",1,Twitter Web App,
Jonathan,787219,"Redmond, WA",2023-01-24 01:03:51,"@caddelljd @hrbrmstr An explanation from @hadleywickham on our forum: https://t.co/d6ITq8XVEC

""Partnership"" here j… https://t.co/qmDINoeKLN",1,Twitter Web App,
Scott Manchester,738101745599930368,"Redmond, WA",2023-01-24 01:02:28,Check out this post on the Microsoft Tech Community : Microsoft Teams application window sharing is now generally a… https://t.co/lHj9fpXsbZ,1,Twitter Web App,
Paizo,16162631,"Redmond, WA",2023-01-24 00:59:03,We are grateful for the welcoming actions of the #Paizoverse community. Paizo could not onboard this many new playe… https://t.co/t77oJjbtpu,189,Twitter for iPhone,
Microsoft Adoption & Community,1453125778040754176,"Redmond, WA",2023-01-24 00:34:17,"In appreciation from all of us at @MSFTAdoption to every one of the #CommunityManagers in our 💻community. 

We are… https://t.co/P4DB8ycITl",9,Twitter Web App,
Don R 🚀🌟,16589409,"Bellevue, WA",2023-01-24 00:30:03,@BiggiePoppins @gifdead @W3BTHR33 @NFTYQ @QuantumVariant @b0rkedPsyche @MartyNFTMcFly As an entrepreneur I value th… https://t.co/uRARhKggE6,0,Twitter Web App,
INFITNITE®,1566163855080030209,"Kirkland, WA",2023-01-23 23:44:02,"Join us for the Barbarian Igniter Raid and gain expert help from certified professionals in fat loss, a supportive… https://t.co/9IBKVIkxpW",0,Twitter for iPhone,
Adam 🎮,800610048,"Redmond, WA",2023-01-23 23:35:30,@JezCorden @EddieMakesGames @vicious696 You'd be surprised.  Our Community team has copywriters.  Who do you think… https://t.co/zxK0LvaKlI,0,Twitter Web App,
